Antho_short_name,Avg_percentage,se_percentage,treatment,Set
D3G,8.062674678,0.277961603,1,Harvest
D3G,7.020737336,0.308568488,2,Harvest
D3G,7.459081765,0.396394701,3,Harvest
D3G,9.171968574,0.417750173,1,1st point
D3G,7.960041737,1.139561616,2,1st point
D3G,9.490060718,0.575573743,3,1st point
C3G,1.295291385,0.043647795,1,Harvest
C3G,1.219756694,0.073594493,2,Harvest
C3G,1.503270744,0.080493094,3,Harvest
C3G,2.827616271,0.103385474,1,1st point
C3G,2.426925883,0.287077639,2,1st point
C3G,3.803329531,0.287040857,3,1st point
Pet3G,6.37294463,0.17467072,1,Harvest
Pet3G,5.613132073,0.19227001,2,Harvest
Pet3G,5.900899089,0.236538479,3,Harvest
Pet3G,6.862648275,0.250746658,1,1st point
Pet3G,6.175428458,0.759601949,2,1st point
Pet3G,6.891755158,0.315073074,3,1st point
Peo3G,5.276392853,0.195622314,1,Harvest
Peo3G,5.500463251,0.281757765,2,Harvest
Peo3G,6.045723776,0.232714173,3,Harvest
Peo3G,7.321457822,0.258181213,1,1st point
Peo3G,7.138803661,0.906353366,2,1st point
Peo3G,8.651238594,0.450929666,3,1st point
M3G,39.46372949,0.939883516,1,Harvest
M3G,41.56093465,1.258554364,2,Harvest
M3G,40.65092386,1.135881298,3,Harvest
M3G,31.35775428,0.935701874,1,1st point
M3G,32.79088261,3.194050219,2,1st point
M3G,30.75217413,0.88886514,3,1st point
D3Gac,2.249287934,0.066654363,1,Harvest
D3Gac,1.711757924,0.058108983,2,Harvest
D3Gac,1.856013729,0.088494047,3,Harvest
D3Gac,3.278306007,0.141263386,1,1st point
D3Gac,2.719651935,0.3273705,2,1st point
D3Gac,3.254537842,0.177358037,3,1st point
C3Gac,0.663596007,0.011482894,1,Harvest
C3Gac,0.553626301,0.012901768,2,Harvest
C3Gac,0.653410572,0.014699998,3,Harvest
C3Gac,1.409290251,0.023714511,1,1st point
C3Gac,1.217592505,0.080905354,2,1st point
C3Gac,1.566989434,0.070982289,3,1st point
Pet3Gac,2.672694292,0.06952792,1,Harvest
Pet3Gac,2.17427275,0.05933377,2,Harvest
Pet3Gac,2.268481513,0.077018812,3,Harvest
Pet3Gac,3.934338469,0.118836583,1,1st point
Pet3Gac,3.463196821,0.359137573,2,1st point
Pet3Gac,3.811262971,0.157420207,3,1st point
Peo3Gac,2.874446406,0.102530423,1,Harvest
Peo3Gac,2.739449299,0.086623836,2,Harvest
Peo3Gac,2.920118692,0.095532575,3,Harvest
Peo3Gac,4.44476975,0.116455629,1,1st point
Peo3Gac,4.416777005,0.450974241,2,1st point
Peo3Gac,4.615183322,0.189039046,3,1st point
M3Gac,24.14832802,0.606651873,1,Harvest
M3Gac,24.4432989,0.997131061,2,Harvest
M3Gac,23.34948299,0.58822119,3,Harvest
M3Gac,22.3915739,0.638840494,1,1st point
M3Gac,23.66680176,2.0209494,2,1st point
M3Gac,20.80621949,0.620388881,3,1st point
Peo3Gpc,1.50948191,0.057757799,1,Harvest
Peo3Gpc,1.463816477,0.045473743,2,Harvest
Peo3Gpc,1.54620817,0.071449605,3,Harvest
Peo3Gpc,2.629368072,0.072659185,1,1st point
Peo3Gpc,2.879635849,0.340706869,2,1st point
Peo3Gpc,2.442526447,0.076902328,3,1st point
M3Gpc,5.411132391,0.176738496,1,Harvest
M3Gpc,5.998754497,0.221408446,2,Harvest
M3Gpc,5.846385073,0.240501371,3,Harvest
M3Gpc,4.370908407,0.125674225,1,1st point
M3Gpc,5.144261822,0.525970144,2,1st point
M3Gpc,3.914722273,0.109105273,3,1st point
